timetable_id,route_id,direction_id,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_time,end_time,include_exceptions,timetable_label,service_notes,orientation,timetable_page_id,timetable_sequence,direction_name,show_trip_continuation
12,1,0,20260901,20261231,1,1,1,1,1,0,0,"","",0,nga shtator deri në dhjetor,"",horizontal,1_1AB,12,nga Selitë deri ne Allias,0
13,1,0,20260901,20261231,0,0,0,0,0,1,0,"","",0,nga shtator deri në dhjetor,"",horizontal,1_1AB,13,nga Selitë deri ne Allias,0
14,1,1,20260901,20261231,0,0,0,0,0,0,1,"","",0,nga shtator deri në dhjetor,"",horizontal,1_1AB,14,nga Allias deri ne Selitë,0
15,1,1,20260901,20261231,1,1,1,1,1,0,0,"","",0,nga shtator deri në dhjetor,"",horizontal,1_1AB,15,nga Allias deri ne Selitë,0
16,1,1,20260901,20261231,0,0,0,0,0,1,0,"","",0,nga shtator deri në dhjetor,"",horizontal,1_1AB,16,nga Allias deri ne Selitë,0
17,2,0,20260101,20260630,0,0,0,0,0,1,1,"","",0,nga janari deri në qershor,"",horizontal,2_2,1,nga TEG deri ne Shkencat e Natyrës,0
18,2,0,20260101,20260630,1,1,1,1,1,0,0,"","",0,nga janari deri në qershor,"",horizontal,2_2,2,nga TEG deri ne Shkencat e Natyrës,0
19,2,1,20260101,20260630,0,0,0,0,0,1,1,"","",0,nga janari deri në qershor,"",horizontal,2_2,3,nga Shkencat e Natyrës deri ne TEG,0
20,2,1,20260101,20260630,1,1,1,1,1,0,0,"","",0,nga janari deri në qershor,"",horizontal,2_2,4,nga Shkencat e Natyrës deri ne TEG,0
21,2,0,20260701,20260831,0,0,0,0,0,1,1,"","",0,korrik dhe gusht,"",horizontal,2_2,5,nga TEG deri ne Shkencat e Natyrës,0
22,2,0,20260701,20260831,1,1,1,1,1,0,0,"","",0,korrik dhe gusht,"",horizontal,2_2,6,nga TEG deri ne Shkencat e Natyrës,0
23,2,1,20260701,20260831,0,0,0,0,0,1,1,"","",0,korrik dhe gusht,"",horizontal,2_2,7,nga Shkencat e Natyrës deri ne TEG,0
24,2,1,20260701,20260831,1,1,1,1,1,0,0,"","",0,korrik dhe gusht,"",horizontal,2_2,8,nga Shkencat e Natyrës deri ne TEG,0
25,2,0,20260901,20261231,0,0,0,0,0,1,1,"","",0,nga shtator deri në dhjetor,"",horizontal,2_2,9,nga TEG deri ne Shkencat e Natyrës,0
26,2,0,20260901,20261231,1,1,1,1,1,0,0,"","",0,nga shtator deri në dhjetor,"",horizontal,2_2,10,nga TEG deri ne Shkencat e Natyrës,0
27,2,1,20260901,20261231,0,0,0,0,0,1,1,"","",0,nga shtator deri në dhjetor,"",horizontal,2_2,11,nga Shkencat e Natyrës deri ne TEG,0
28,2,1,20260901,20261231,1,1,1,1,1,0,0,"","",0,nga shtator deri në dhjetor,"",horizontal,2_2,12,nga Shkencat e Natyrës deri ne TEG,0
29,3,0,20260101,20260630,0,0,0,0,0,1,1,"","",0,nga janari deri në qershor,"",horizontal,3_3A,1,Kashar Orar,0
30,3,0,20260101,20260630,1,1,1,1,1,0,0,"","",0,nga janari deri në qershor,"",horizontal,3_3A,2,Kashar Orar,0
31,3,0,20260701,20260831,1,1,1,1,1,1,1,"","",0,korrik dhe gusht,"",horizontal,3_3A,3,Kashar Orar,0
32,3,0,20260901,20261231,0,0,0,0,0,1,1,"","",0,nga shtator deri në dhjetor,"",horizontal,3_3A,4,Kashar Orar,0
33,3,0,20260901,20261231,1,1,1,1,1,0,0,"","",0,nga shtator deri në dhjetor,"",horizontal,3_3A,5,Kashar Orar,0
34,4,0,20260101,20260630,0,0,0,0,0,1,1,"","",0,nga janari deri në qershor,"",horizontal,4_3B,1,Kashar Antiorar,0
35,4,0,20260101,20260630,1,1,1,1,1,0,0,"","",0,nga janari deri në qershor,"",horizontal,4_3B,2,Kashar Antiorar,0
